subject,trial,ti,tf
S1,GAIT1,986,1115
S1,GAIT2,905,1033
S1,GAIT3,857,982
S2,GAIT1,1093,1244
S2,GAIT2,806,938
S2,GAIT3,994,1127
S3,GAIT1,1011,1144
S3,GAIT2,763,881
S3,GAIT3,775,895
S4,GAIT1,904,1028
S4,GAIT2,806,923
S4,GAIT3,747,864
S5,GAIT1,878,995
S5,GAIT2,938,1054
S5,GAIT3,859,971
S6,GAIT1,1116,1255
S6,GAIT2,840,976
S6,GAIT3,840,971
S7,GAIT1,872,978
S7,GAIT2,736,840
S7,GAIT3,694,797
S8,GAIT1,919,1045
S8,GAIT2,999,1115
S8,GAIT3,988,1103
S9,GAIT1,820,935
S9,GAIT2,910,1006
S9,GAIT3,784,877
S10,GAIT1,807,916
S10,GAIT2,798,960
S10,GAIT3,767,866
S11,GAIT1,783,907
S11,GAIT2,803,918
S11,GAIT3,828,949
